Type of materials,Sub_type of materials,Functioal group/drug,Abbreviation,Shape,Agglomeration,Zeta potential,Cell_Type,Stimulant,Cellular uptake,Pro_inflammatoary ,Anti_inflammatoary ,Apoptosis,Organism,Gender,Dose times (Single dose/Multiple dose),Administration route,Injury_Model,Biosafety,Recovery,Reference,Unnamed: 27,Size (nm)_min,Size (nm)_max,NPs_Conc (ug/mL)_min,NPs_Conc (ug/mL)_max,Stimulant_Conc(ug/ml)_min,Stimulant_Conc(ug/ml)_max,Age (Weeks)_min,Age (Weeks)_max,Weight (g)_min,Weight (g)_max,Dose_invivo_ (mg/Kg)_min,Dose_invivo_ (mg/Kg)_max
Carbon,,,,Non-Sphere,No,,Neuronal,NPs stimuli,,Low,,Low,,,,,,,Bad,Enhanced Neural Cell Adhesion and Neurite Outgrowth on Graphene-Based Biomimetic Substrates,http://dx.doi.org/10.1155/2014/212149,,,100.0,500.0,100.0,500.0,,,,,,
Carbon,,,,Non-Sphere,No,,Neuronal,NPs stimuli,,Low,,High,,,,,,,Bad,Enhanced Neural Cell Adhesion and Neurite Outgrowth on Graphene-Based Biomimetic Substrates,http://dx.doi.org/10.1155/2014/212149,,,100.0,500.0,100.0,500.0,,,,,,
Carbon,,,,Non-Sphere,No,,Neuronal,NPs stimuli,High,High,,High,,,,,,,Bad,Enhanced Neural Cell Adhesion and Neurite Outgrowth on Graphene-Based Biomimetic Substrates,http://dx.doi.org/10.1155/2014/212149,,,100.0,500.0,100.0,500.0,,,,,,
Inorganic,Super Magnetic,,SPION,Non-Sphere,Yes,Negative,Primary,Physical stimuli,High,,,High,,,,,,,Good,Cellular and molecular processes are differently influenced in primary neural cells by slight changes in the physicochemical properties of multicore magnetic nanoparticles,10.1021/acsami.3c02729,,10.0,10.0,100.0,10.0,100.0,,,,,,
Inorganic,Titanium Dioxide,,TiO2 NPs,,,,,,,High,,High,Small Rodents,Both,Multiple,,Brain Disease,Bad,Bad,Neurotoxicological effects and the impairment of spatial recognition memory in mice caused by exposure to TiO2 nanoparticles,10.1016/j.biomaterials.2010.07.011,,10.0,,,,,,,1.0,50.0,10.0,
Inorganic,Titanium Dioxide,,TiO2 NPs,Sphere,Yes,Negative,,,High,High,Low,High,Small Rodents,Female,Multiple,Other,Brain Injury,Bad,Bad,Titanium dioxide nanoparticles inhibit proliferation and induce morphological changes and apoptosis in glial cells,10.1016/j.tox.2012.09.005,,,,,,,,,1.0,50.0,200.0,
Inorganic,Titanium Dioxide,,TiO2 NPs,Sphere,Yes,Negative,Other,,High,,,,,,,,Brain Injury,,,Titanium dioxide nanoparticles inhibit proliferation and induce morphological changes and apoptosis in glial cells,10.1016/j.tox.2012.09.005,,,,,,,,,,,,
Inorganic,Titanium Dioxide,,TiO2 NPs,,,,,,High,High,,High,Small Rodents,Female,,,Brain Disease,Bad,Bad,Nanosized titanium dioxide enhanced inflammatory responses in the spetic brain of mouse,10.1016/j.neuroscience.2009.10.057,,,10.0,100.0,,,10.0,,,,10.0,100.0
Inorganic,Titanium Dioxide,,TiO2 NPs,,,,Glial,,High,High,Low,High,,,,,Brain Disease,Bad,Bad,Nanosized titanium dioxide enhanced inflammatory responses in the spetic brain of mouse,10.1016/j.neuroscience.2009.10.057,,,10.0,100.0,,,,,,,,
Inorganic,Titanium Dioxide,,TiO2 NPs,,,,,,,High,,High,Small Rodents,Female,Multiple,,Brain Disease,Bad,Bad,Time-dependent translocation and potential impairment on central nervous system by intranasally instilled TiO2 nanoparticles,10.1016/j.tox.2008.09.014,,,,,,,10.0,,,,10.0,
Inorganic,Titanium Dioxide,,TiO2 NPs,,Yes,Negative,Neuronal,NPs stimuli,,High,,High,,,,,Brain Disease,Bad,,Involvement of JNK and P53 activation in G2/M cell cycle arrest and apoptosis induced by titanium dioxide nanoparticles in neuron cells,10.1016/j.toxlet.2010.09.009,,,,,,,,,,,,
Inorganic,Titanium Dioxide,,TiO2 NPs,,Yes,Positive,,NPs stimuli,,High,,High,Small Rodents,Female,Multiple,Other,Brain Injury,Bad,Bad,Neuroteoxic characteristics of spatial recognition damage of the hippocampus in mice following subchronic peroral exposure to TiO2 nanoparticles,10.1016/j.jhazmat.2013.10.072,,,,,,,0.0,5.0,1.0,50.0,10.0,
Inorganic,Titanium Dioxide,,TiO2 NPs,Non-Sphere,Yes,Negative,,NPs stimuli,,,,High,Small Rodents,Female,Multiple,Other,Brain Disease,Bad,Bad,Rutile TiO2 particles exert size and surface coating dependent retention and lesions on the murine brain,10.1016/j.toxlet.2011.08.001,10.0,100.0,,,,,0.0,5.0,1.0,50.0,10.0,
Inorganic,Titanium Dioxide,,TiO2 NPs,Non-Sphere,No,Negative,,NPs stimuli,,,,High,Small Rodents,Female,Multiple,Other,Brain Disease,Bad,Bad,Rutile TiO2 particles exert size and surface coating dependent retention and lesions on the murine brain,10.1016/j.toxlet.2011.08.001,200.0,,,,,,0.0,5.0,1.0,50.0,10.0,
Inorganic,Titanium Dioxide,,TiO2 NPs,Non-Sphere,No,Negative,,NPs stimuli,,,,High,Small Rodents,Female,Multiple,Other,Brain Disease,Bad,Bad,Rutile TiO2 particles exert size and surface coating dependent retention and lesions on the murine brain,10.1016/j.toxlet.2011.08.001,200.0,,,,,,0.0,5.0,1.0,50.0,10.0,
Inorganic,Titanium Dioxide,,TiO2 NPs,Non-Sphere,No,Negative,,NPs stimuli,,,,High,Small Rodents,Female,Multiple,Other,Brain Disease,Bad,Bad,Rutile TiO2 particles exert size and surface coating dependent retention and lesions on the murine brain,10.1016/j.toxlet.2011.08.001,200.0,,,,,,0.0,5.0,1.0,50.0,10.0,
Inorganic,Titanium Dioxide,,TiO2 NPs,,Yes,Positive,,NPs stimuli,,High,,High,Small Rodents,Female,Multiple,Other,Brain Injury,,,TiO2 nanoparticle-Induced Neurotoxicity May Be Involved in Dysfunction of Glutamate Metabolism and Its Receptor Expression in Mice,DOI: 10.1002/tox.22077,200.0,,,,,,0.0,5.0,1.0,50.0,10.0,
Inorganic,Titanium Dioxide,,TiO2 NPs,,Yes,Positive,,NPs stimuli,,High,,High,Small Rodents,Female,Multiple,Other,Brain Injury,Bad,Bad,Neurotoxicity and gene-expressed profile in brain-injured mice caused by exposure to titanium dioxide nanoparticles,0.1002/jbm.a.34705,,10.0,,,,,,,1.0,50.0,10.0,
Inorganic,Titanium Dioxide,,TiO2 NPs,Sphere,Yes,Positive,,NPs stimuli,,High,,,Small Rodents,,Multiple,Other,Brain Injury,Bad,Bad,Molecular mechanism of titanium dioxide nanoparticles-induced oxidative injury in the brain of mice,http://dx.doi.org/10.1016/j.chemosphere.2013.01.094,,,,,,,,,1.0,50.0,10.0,
Inorganic,Titanium Dioxide,,TiO2 NPs,,,,,NPs stimuli,,High,,High,Fish,Male,Multiple,Other,Brain Injury,Bad,Bad,Maternal exposure to nanoparticulate titanium dioxide during the prenatal period alters gene expression related to brain development in the mouse,10.1186/1743-8977-6-20,200.0,,,,,,,,,,10.0,
Inorganic,Titanium Dioxide,,TiO2 NPs,,Yes,Negative,Glial,NPs stimuli,High,High,,Low,,,,,Brain Disease,Bad,,Titanium Dioxide (P25) Produces Reactive Oxygen Species in Immortalized Brain Microglia (BV2): Implications for nanoparticle Neurotoxicity,10.1021/es060589n,10.0,100.0,1.0,10.0,0.0,10.0,,,,,,
Inorganic,Titanium Dioxide,,TiO2 NPs,,Yes,,Other,NPs stimuli,,High,,High,,,,,,Bad,Bad,Apoptosis induced by titanium dioxide nanoparticles in cultured murine microglia N9 cells,10.1007/s11434-009-0548-x,10.0,100.0,100.0,500.0,100.0,500.0,,,,,,
Inorganic,Titanium Dioxide,,TiO2 NPs,,Yes,,Other,NPs stimuli,,High,,High,,,,,Brain Injury,Bad,Bad,Titanium dioxide nanoparticles induce strong oxidative stress and mitochondrial damage in glial cells,10.1016/j.freeradbiomed.2014.04.026,200.0,,10.0,100.0,10.0,100.0,,,,,,
Inorganic,Titanium Dioxide,,TiO2 NPs,,,,,NPs stimuli,,High,,,Fish,,Multiple,,Brain Injury,Bad,Bad,Effects of Developmental Exposure to TiO2 nanoparticles on Synaptic Plasticity in Hippocampal Dentate Gyrus Area: an In Vivo Study in Anesthetized Rats,10.1007/s12011-011-8990-4,200.0,,,,,,,,,,10.0,
Inorganic,Sinp30,,SiNP30,Sphere,,Positive,Other,NPs stimuli,,High,,High,,,,,,Bad,Bad,Induction of oxidative stress and cell death in neural cells by silica nanoparticle,10.1021/acschemneuro.8b00248,10.0,100.0,500.0,,500.0,,,,,,,
Inorganic,Sinp100,,SiNP100,Sphere,,Positive,Other,NPs stimuli,,High,,High,,,,,,Bad,Bad,Induction of oxidative stress and cell death in neural cells by silica nanoparticle,10.1021/acschemneuro.8b00248,100.0,200.0,500.0,,500.0,,,,,,,
Inorganic,Sinp200,,SiNP200,Sphere,,Positive,Other,NPs stimuli,,High,,High,,,,,,Bad,Bad,Induction of oxidative stress and cell death in neural cells by silica nanoparticle,10.1021/acschemneuro.8b00248,100.0,200.0,500.0,,500.0,,,,,,,
Inorganic,Sinp400,,SiNP400,Sphere,,Positive,Other,NPs stimuli,,High,,High,,,,,,Bad,Bad,Induction of oxidative stress and cell death in neural cells by silica nanoparticle,10.1021/acschemneuro.8b00248,200.0,,500.0,,500.0,,,,,,,
Inorganic,Sinp1500,,SiNP1500,Sphere,,Positive,Other,NPs stimuli,,High,,High,,,,,,Bad,Bad,Induction of oxidative stress and cell death in neural cells by silica nanoparticle,10.1021/acschemneuro.8b00248,200.0,,500.0,,500.0,,,,,,,
Inorganic,Silica Dioxide,,SiO2NP,Sphere,No,Negative,Glial,NPs stimuli,High,,,Low,Small Rodents,Male,Multiple,Other,Brain Injury,Good,Good,Silica nanoparticle Exposure Caused Brain Lesion and Underlying Toxicological Mechanism: Route-Dependent Bio-Corona Formation and GSK3β Phosphorylation Status,https://doi.org/10.1021/envhealth.3c00119,10.0,100.0,10.0,100.0,10.0,100.0,5.0,10.0,1.0,50.0,10.0,100.0
Inorganic,Silica Dioxide,,SiO2NP,Sphere,No,Negative,Glial,NPs stimuli,High,High,,High,,,,,Brain Injury,,,Silica nanoparticle Exposure Caused Brain Lesion and Underlying Toxicological Mechanism: Route-Dependent Bio-Corona Formation and GSK3β Phosphorylation Status,https://doi.org/10.1021/envhealth.3c00119,10.0,100.0,10.0,100.0,10.0,100.0,,,,,,
Inorganic,Silica Dioxide,,SiO2NP,Sphere,Yes,Negative,,NPs stimuli,High,High,,Low,Small Rodents,Male,Multiple,Other,Brain Disease,Bad,Bad,"Silica nanoparticles induce neurodegeneration-like changes in behavior, neuropathology, and affect synapse through MAPK activation",https://doi.org/10.1186/s12989-018-0263-3,10.0,100.0,1.0,10.0,0.0,10.0,10.0,,,,10.0,
Inorganic,Silica Dioxide,,SiO2NP,Sphere,Yes,Negative,Other,NPs stimuli,High,High,,High,,,,,Brain Disease,Bad,Bad,"Silica nanoparticles induce neurodegeneration-like changes in behavior, neuropathology, and affect synapse through MAPK activation",https://doi.org/10.1186/s12989-018-0263-3,10.0,100.0,1.0,10.0,0.0,10.0,,,,,,
Inorganic,Silica Dioxide,PCL,SiO2-PCL,,Yes,Negative,Neuronal,NPs stimuli,High,High,Low,,,,,,Brain Disease,Bad,Good,Uptake of silica nanoparticles in the brain and effects on neuronal differentiation using different in vitro models,http://dx.doi.org/10.1016/j.Missingno.2016.11.001,10.0,100.0,500.0,,500.0,,,,,,,
Inorganic,Silica Dioxide,PLLA,SiO2-PLLA,,Yes,Negative,Neuronal,NPs stimuli,High,High,Low,,,,,,Brain Disease,Bad,Good,Uptake of silica nanoparticles in the brain and effects on neuronal differentiation using different in vitro models,http://dx.doi.org/10.1016/j.Missingno.2016.11.001,10.0,100.0,500.0,,500.0,,,,,,,
Organic,,,,Sphere,Yes,,Primary,NPs stimuli,,,,Low,,,,,Peripheral Nerve,Good,,Carboxymethylchitosan/Poly(amidoamine) Dendrimer nanoparticles in Central Nervous Systems-Regenerative Medicine: Effects on Neuron/Glial Cell Viability and Internalization Efficiency,10.1002/mabi.201000005,,,,,,,,,,,,
Organic,,,,Sphere,,Negative,Other,NPs stimuli,,Low,High,,,,,,Brain Disease,Good,Good,Antineuroinflammatory Activities and Neurotoxicological Assessment of Curcumin Loaded Solid Lipid nanoparticles on LPS-Stimulated BV-2 Microglia Cell Models,10.3390/molecules24061170,200.0,,10.0,100.0,10.0,100.0,,,,,,
Carbon,,,,Non-Sphere,Yes,Negative,Neuronal,NPs stimuli,,,,High,,,,,Brain Disease,Bad,Bad,Cytotoxicity Effects of Graphene and Single-Wall Carbon nanotubes in Neural Phaeochromocytoma-Derived PC12 Cells',10.1021/nn1007176,200.0,,10.0,100.0,10.0,100.0,,,,,,
Carbon,,,,Non-Sphere,,,Neuronal,NPs stimuli,,High,,,,,,,Brain Disease,Bad,Bad,Enhanced Neural Cell Adhesion and Neurite Outgrowth on Graphene-Based Biomimetic Substrates,10.1155/2014/212149,,,500.0,,500.0,,,,,,,
Carbon,,,,Non-Sphere,,,Neuronal,NPs stimuli,High,Low,,,,,,,Brain Disease,Good,Good,Enhanced Neural Cell Adhesion and Neurite Outgrowth on Graphene-Based Biomimetic Substrates,10.1155/2014/212149,200.0,,500.0,,500.0,,,,,,,
Inorganic,Silica Dioxide,,SiO2NPs,Sphere,,Negative,,,,,,High,Small Rodents,Male,Multiple,Intravenous,Brain Disease,Bad,Bad,Brain accumulation and toxicity profiles of silica nanoparticles: The  influence of size and exposure route,10.1021/acs.est.1c07562,10.0,100.0,,,,,5.0,10.0,,,10.0,100.0
Inorganic,Silica Dioxide,,SiO2NPs,Sphere,,Negative,,,,,,High,Small Rodents,Male,Multiple,Other,Brain Disease,Bad,Bad,Brain accumulation and toxicity profiles of silica nanoparticles: The  influence of size and exposure route,10.1021/acs.est.1c07562,10.0,100.0,,,,,5.0,10.0,,,10.0,100.0
Inorganic,Silica Dioxide,,SiO2NPs,Sphere,,,,,,High,Low,High,Small Rodents,Male,,Intraperitoneal,Brain Disease,Good,Bad,Silica nanoparticles Induced Oxidative Stress in Different Brain Regions of Male Albino Rats,10.36347/sajb.2021.v09i05.004,,,,,,,,,50.0,,10.0,100.0
Organic,,,,Sphere,No,Negative,,,High,High,Low,High,Small Rodents,,,Other,Brain Disease,Good,Good,Bioeffects of Inhaled nanoplastics on Neurons and Alteration of Animal Behaviors through Deposition in the Brain,10.1021/acs.Missingnolett.1c04184,,,1.0,10.0,,,,,,,,
Organic,,,,Sphere,No,Negative,Primary,,High,High,Low,High,,,,,Brain Disease,Good,Good,Bioeffects of Inhaled nanoplastics on Neurons and Alteration of Animal Behaviors through Deposition in the Brain,10.1021/acs.Missingnolett.1c04184,,,1.0,10.0,,,,,,,,
Organic,,,,Sphere,No,,,,,High,Low,High,Other Vertebrates,Other,,Other,Brain Disease,Good,Good,Polystyrene nanoparticles induced neurodevelopmental toxicity in Caenorhabditis elegans through regulation of dpy-5 and rol-6,10.1016/j.ecoenv.2021.112523,100.0,200.0,,,,,,,,,10.0,
Organic,,,,Sphere,No,,,,,High,Low,High,Other Vertebrates,Other,Single,Other,Brain Disease,Good,Good,"Polystyrene (nano)microplastics cause size-dependent neurotoxicity, oxidative damages and other adverse effects in Caenorhabditis elegans",10.1039/C8EN00412A,10.0,100.0,,,,,0.0,5.0,,,,
Inorganic,Silica Dioxide,,SiO2NPs,Sphere,,,,,,High,Low,High,Fish,,,Other,Brain Disease,Bad,Bad,Neurobehavioral toxicity induced by titanium dioxide nanoparticles in zebrafish larvae,10.1016/j.chemosphere.2021.130398,200.0,,,,,,,,,,,
Inorganic,Silica Dioxide,,SiO2NPs,Sphere,No,Negative,,,,High,Low,High,Fish,,Multiple,Intravenous,Brain Disease,Bad,Good,Low-Dose Exposure of Silica nanoparticles Induces Neurotoxicity via Neuroactive Ligand–Receptor Interaction Signaling Pathway in Zebrafish Embryos,10.2147/IJN.S254480,10.0,100.0,,,,,0.0,5.0,,,10.0,
Organic,,,,Sphere,No,,,,,High,Low,High,Fish,,,Other,Brain Disease,Good,Bad,Toxicity of polystyrene micro- and nanoplastics in zebrafish embryos and larvae,10.1016/j.envpol.2020.115876,,,1.0,10.0,,,0.0,5.0,,,10.0,
Carbon,,,,Sphere,,,,,,Low,High,Low,Small Rodents,Male,,Intraperitoneal,Brain Injury,Good,Bad,The neuroprotective effect of pretreatment with carbon dots from Crinis Carbonisatus (carbonized human hair) against cerebral ischemia reperfusion injury,10.1186/s12951-021-00908-2,200.0,,500.0,,,,,,50.0,,10.0,
Carbon,,,,Sphere,,,Raw 264.7,,,,,,,,,,Brain Injury,,,The neuroprotective effect of pretreatment with carbon dots from Crinis Carbonisatus (carbonized human hair) against cerebral ischemia reperfusion injury,10.1186/s12951-021-00908-2,200.0,,500.0,,,,,,,,,
Inorganic,Silver,PVP-coated,AgNPs,Sphere,No,,,,,,,,,,,,Brain Disease,,,Silver nanoparticles exposure induces developmental neurotoxicity in hiPSC-derived cerebral organoids,10.1016/j.scitotenv.2022.157047,100.0,200.0,,,,,,,,,,
Inorganic,Manganese,,Mn-NP,Sphere,Yes,,Primary,,,,,,Small Rodents,,,,Brain Disease,,,Manganese nanoparticle activates mitochondrial dependent apoptotic signaling and autophagy in dopaminergic neuronal cells,10.1016/j.taap.2011.07.018,200.0,,,,,,,,,,,
Inorganic,Manganese,,Mn-NP,Sphere,Yes,,Primary,,,,,,Small Rodents,,,,Brain Disease,,,Manganese nanoparticle activates mitochondrial dependent apoptotic signaling and autophagy in dopaminergic neuronal cells,10.1016/j.taap.2011.07.018,200.0,,,,,,,,,,,
Inorganic,Silver,,AgNPs,Sphere,Yes,,,,,High,Low,High,Small Rodents,Male,Multiple,Intraperitoneal,Brain Disease,Bad,Bad,Potential role of α-lipoic acid and Ginkgo biloba against silver nanoparticles-induced neuronal apoptosis and blood-brain barrier impairments in rats,10.1016/j.lfs.2018.10.011,200.0,,,,,,,,50.0,,,
Inorganic,Silver,,AgNPs,Sphere,Yes,,,,,High,Low,High,Small Rodents,Male,Multiple,Intraperitoneal,Brain Disease,Good,Good,Potential role of α-lipoic acid and Ginkgo biloba against silver nanoparticles-induced neuronal apoptosis and blood-brain barrier impairments in rats,10.1016/j.lfs.2018.10.011,,,,,,,,,50.0,,10.0,100.0
Inorganic,Silver,,AgNPs,Sphere,Yes,Negative,,,,Low,,Low,Small Rodents,Male,Multiple,Intraperitoneal,Brain Disease,Good,Good,Exposure to silver nanoparticles does not affect cognitive outcome or hippocampal neurogenesis in adult mice,10.1016/j.ecoenv.2012.10.014,,,,,,,,,1.0,50.0,10.0,100.0
Inorganic,Silica Dioxide,,SiO₂ NPs,Sphere,No,Negative,,,,High,Low,High,Fish,,Multiple,Intravenous,Brain Disease,Bad,Bad,Low-Dose Exposure of Silica nanoparticles Induces Neurotoxicity via Neuroactive Ligand–Receptor Interaction Signaling Pathway in Zebrafish Embryos,10.2147/IJN.S254480,10.0,100.0,500.0,,,,,,,,10.0,
Inorganic,Gold,2-Mercapto-1-methylimidazole,AuNPs,Sphere,No,,,,High,High,Low,High,Small Rodents,Male,Multiple,Intravenous,Brain Disease,Bad,Bad,Imidazole-stabilized gold nanoparticles induce neuronal apoptosis: An in vitro and in vivo study,10.1002/jbm.a.35289,200.0,,10.0,100.0,,,10.0,,,,10.0,100.0
Inorganic,Gold,2-Mercapto-1-methylimidazole,AuNPs,Sphere,No,,Neuronal,,High,High,Low,High,,,,,Brain Disease,Bad,Bad,Imidazole-stabilized gold nanoparticles induce neuronal apoptosis: An in vitro and in vivo study,10.1002/jbm.a.35289,200.0,,10.0,100.0,,,,,,,,
Inorganic,Copper(Ii) Oxide,Crocetin,CuONPs,Sphere,Yes,Negative,Neuronal,Neurotoxins,,,Low,High,,,,,Brain Disease,Good,Good,CuO nanoparticles induce apoptosis by impairing the antioxidant defense and detoxification systems in the mouse hippocampal HT22 cell line: Protective effect of crocetin,10.1016/j.tiv.2015.02.004,200.0,,10.0,100.0,0.0,10.0,,,,,,
Inorganic,Gold,,AuNPs,Sphere,Yes,,Other,,,,,,,,,,Brain Injury,Good,Good,Dose-Dependent Cytotoxicity of Gold nanoparticles on Human Neural Progenitor Cells and Rat Brain,10.1166/jnn.2019.16547,200.0,,100.0,500.0,,,,,,,,
Inorganic,Gold,,AuNPs,Sphere,Yes,,,,,High,Low,High,Small Rodents,Male,,Other,Brain Injury,Bad,Bad,Dose-Dependent Cytotoxicity of Gold nanoparticles on Human Neural Progenitor Cells and Rat Brain,10.1166/jnn.2019.16547,200.0,,100.0,500.0,,,10.0,,50.0,,200.0,
Organic,,,,Sphere,No,Negative,,,,High,Low,High,Small Rodents,Male,Multiple,Intravenous,Brain Injury,Bad,Bad,Brain Localization and Neurotoxicity Evaluation of Polysorbate 80-Modified Chitosan nanoparticles in Rats,10.1371/jourMissingl.pone.0134722,,,,,,,10.0,,,,10.0,
Inorganic,Silicon Dioxide,fluorescein isothiocyanate,FITC-SiO₂ NPs,Sphere,No,Negative,Other,,High,High,,High,,,,,Brain Disease,Bad,,Evaluating the toxicity of silicon dioxide nanoparticles on neural stem cells using Rna-Seq,10.1039/c7ra09512k,,,100.0,500.0,,,,,,,,
Hybrid,,,,Sphere,No,Negative,Neuronal,Neurotoxins,,High,,Low,,,,,Brain Disease,Bad,Bad,Silica nanoparticle-exposure during neuronal differentiation modulates dopaminergic and cholinergic phenotypes in SH-SY5Y cells,10.1186/s12951-019-0482-2,,,1.0,10.0,500.0,,,,,,,
Carbon,,,,Non-Sphere,No,Negative,,,,Low,,Low,Small Rodents,,,,Peripheral Nerve,Good,Good,nanobiology Dependent Therapeutic Convergence between Biocompatibility and Bioeffectiveness of Graphene Oxide Quantum Dot Scaffold,10.1002/adfm.202211709,200.0,,100.0,500.0,,,,,,,,
Carbon,,,,Non-Sphere,No,Negative,Raw 264.7,,,Low,Low,High,,,,,Peripheral Nerve,Good,Good,nanobiology Dependent Therapeutic Convergence between Biocompatibility and Bioeffectiveness of Graphene Oxide Quantum Dot Scaffold,10.1002/adfm.202211709,200.0,,100.0,500.0,,,,,,,,
Organic,,,,,,,Other,Inflammatory stimuli,,Low,High,,,,,,Brain Injury,Good,Good,Infusible Extracellular Matrix Biomaterial Promotes Vascular Integrity and Modulates the Inflammatory Response in Acute Traumatic Brain Injury,10.1002/adhm.202300782,,,1.0,10.0,0.0,10.0,,,,,,
Organic,,,,,,,,Inflammatory stimuli,,Low,,Low,Small Rodents,Both,Multiple,Intravenous,Brain Injury,Good,Good,Infusible Extracellular Matrix Biomaterial Promotes Vascular Integrity and Modulates the Inflammatory Response in Acute Traumatic Brain Injury,10.1002/adhm.202300782,,,1.0,10.0,0.0,10.0,5.0,10.0,,,10.0,100.0
Organic,,,,Sphere,No,Negative,,Neurodegenrative peptide,High,Low,High,Low,Small Rodents,Male,Multiple,Other,Brain Disease,Good,Good,Intranasal Delivery of Pure nanodrug Loaded Liposomes for Alzheimer’s Disease Treatment by Efficiently Regulating Microglial Polarization,10.1002/smll.202405781,,,1.0,10.0,500.0,,10.0,,,,10.0,
Organic,,,,Sphere,No,Negative,Glial,Neurodegenrative peptide,High,Low,High,Low,,,,,Brain Disease,Good,Good,Intranasal Delivery of Pure nanodrug Loaded Liposomes for Alzheimer’s Disease Treatment by Efficiently Regulating Microglial Polarization,10.1002/smll.202405781,,,1.0,10.0,500.0,,,,,,,
